year,audio_feature,value
1971,danceability,0.5796263736263736
1972,danceability,0.5843085106382978
1973,danceability,0.5754565217391306
1974,danceability,0.5901612903225807
1975,danceability,0.5845520833333332
1976,danceability,0.60925
1977,danceability,0.5808043478260868
1978,danceability,0.6137083333333332
1979,danceability,0.6423695652173916
1980,danceability,0.6192444444444445
1981,danceability,0.609103092783505
1982,danceability,0.6154123711340204
1983,danceability,0.641896907216495
1984,danceability,0.6530842105263158
1985,danceability,0.6553749999999999
1986,danceability,0.6471063829787232
1987,danceability,0.63903125
1988,danceability,0.6360879120879118
1989,danceability,0.6187659574468081
1990,danceability,0.6496382978723402
1991,danceability,0.6181235955056179
1992,danceability,0.6367473684210527
1993,danceability,0.6527608695652171
1994,danceability,0.6421075268817206
1995,danceability,0.648279569892473
1996,danceability,0.6511521739130435
1997,danceability,0.6656777777777778
1998,danceability,0.65916091954023
1999,danceability,0.651913043478261
2000,danceability,0.6825368421052632
2001,danceability,0.6539032258064517
2002,danceability,0.6771612903225804
2003,danceability,0.6652210526315788
2004,danceability,0.6717578947368421
2005,danceability,0.6786145833333336
2006,danceability,0.690041237113402
2007,danceability,0.656382978723404
2008,danceability,0.6480816326530613
2009,danceability,0.6291237113402065
2010,danceability,0.6231458333333334
2011,danceability,0.6246914893617018
2012,danceability,0.6482244897959184
2013,danceability,0.634625
2014,danceability,0.64817
2015,danceability,0.664636363636364
2016,danceability,0.6634949494949496
2017,danceability,0.7165204081632653
2018,danceability,0.7191313131313132
2019,danceability,0.7146666666666663
2020,danceability,0.695737373737374
2021,danceability,0.6752828282828285
1971,energy,0.5566340659340661
1972,energy,0.5322255319148935
1973,energy,0.5624347826086954
1974,energy,0.5784301075268818
1975,energy,0.5628750000000001
1976,energy,0.6141145833333332
1977,energy,0.5773913043478263
1978,energy,0.5523479166666664
1979,energy,0.6097173913043481
1980,energy,0.5541933333333333
1981,energy,0.5454845360824743
1982,energy,0.5957525773195876
1983,energy,0.6358247422680413
1984,energy,0.6893789473684211
1985,energy,0.6572708333333334
1986,energy,0.6508297872340427
1987,energy,0.6563333333333333
1988,energy,0.667175824175824
1989,energy,0.6663404255319149
1990,energy,0.668563829787234
1991,energy,0.6451573033707864
1992,energy,0.629463157894737
1993,energy,0.6114782608695651
1994,energy,0.6059677419354839
1995,energy,0.6184838709677416
1996,energy,0.6367500000000003
1997,energy,0.5846111111111111
1998,energy,0.5944183908045976
1999,energy,0.6339608695652176
2000,energy,0.7112842105263159
2001,energy,0.6944946236559137
2002,energy,0.696462365591398
2003,energy,0.6825157894736842
2004,energy,0.6716842105263159
2005,energy,0.672458333333333
2006,energy,0.6772474226804122
2007,energy,0.716308510638298
2008,energy,0.7094285714285716
2009,energy,0.728
2010,energy,0.7549583333333332
2011,energy,0.7534042553191489
2012,energy,0.7356020408163262
2013,energy,0.7074166666666667
2014,energy,0.6937300000000001
2015,energy,0.6586191919191917
2016,energy,0.6311565656565657
2017,energy,0.6295816326530613
2018,energy,0.6320808080808081
2019,energy,0.6163737373737375
2020,energy,0.6066868686868686
2021,energy,0.5952020202020205
1971,key,4.835164835164835
1972,key,5.414893617021277
1973,key,5.25
1974,key,5.623655913978495
1975,key,5.0
1976,key,4.96875
1977,key,4.978260869565218
1978,key,5.520833333333333
1979,key,4.804347826086956
1980,key,4.933333333333334
1981,key,5.257731958762887
1982,key,4.896907216494846
1983,key,5.092783505154639
1984,key,5.410526315789474
1985,key,5.4375
1986,key,4.946808510638298
1987,key,5.145833333333333
1988,key,4.8901098901098905
1989,key,5.574468085106383
1990,key,4.957446808510638
1991,key,4.865168539325842
1992,key,5.378947368421053
1993,key,5.260869565217392
1994,key,5.903225806451613
1995,key,5.827956989247312
1996,key,5.967391304347826
1997,key,5.544444444444444
1998,key,5.264367816091954
1999,key,5.5
2000,key,5.178947368421053
2001,key,4.78494623655914
2002,key,5.344086021505376
2003,key,5.578947368421052
2004,key,5.010526315789473
2005,key,5.625
2006,key,5.309278350515464
2007,key,5.329787234042553
2008,key,5.581632653061225
2009,key,5.134020618556701
2010,key,5.4375
2011,key,5.648936170212766
2012,key,5.1020408163265305
2013,key,5.3125
2014,key,5.96
2015,key,4.787878787878788
2016,key,5.8686868686868685
2017,key,5.571428571428571
2018,key,5.808080808080808
2019,key,4.838383838383838
2020,key,5.666666666666667
2021,key,4.959595959595959
1971,loudness,-10.608417582417587
1972,loudness,-10.964808510638294
1973,loudness,-10.631608695652174
1974,loudness,-10.597290322580642
1975,loudness,-10.52077083333333
1976,loudness,-10.034833333333333
1977,loudness,-10.234717391304349
1978,loudness,-10.33990625
1979,loudness,-10.379260869565218
1980,loudness,-10.727666666666666
1981,loudness,-10.4780824742268
