year,audio_feature,value
1971,danceability,0.5795274725274725
1972,danceability,0.5840744680851063
1973,danceability,0.5754565217391306
1974,danceability,0.590483870967742
1975,danceability,0.5846979166666665
1976,danceability,0.60925
1977,danceability,0.5809565217391303
1978,danceability,0.6138958333333332
1979,danceability,0.6409456521739133
1980,danceability,0.6202111111111113
1981,danceability,0.6076979166666666
1982,danceability,0.6157010309278348
1983,danceability,0.643278350515464
1984,danceability,0.653
1985,danceability,0.6553749999999999
1986,danceability,0.6471063829787232
1987,danceability,0.6388125000000001
1988,danceability,0.6360879120879118
1989,danceability,0.619265957446808
1990,danceability,0.6519148936170212
1991,danceability,0.6213820224719101
1992,danceability,0.6381276595744683
1993,danceability,0.6527608695652171
1994,danceability,0.6431413043478261
1995,danceability,0.648279569892473
1996,danceability,0.6511739130434782
1997,danceability,0.663370786516854
1998,danceability,0.65916091954023
1999,danceability,0.6543586956521741
2000,danceability,0.6825368421052632
2001,danceability,0.6528172043010753
2002,danceability,0.6764725274725272
2003,danceability,0.6652210526315788
2004,danceability,0.6712315789473684
2005,danceability,0.6785789473684213
2006,danceability,0.69003125
2007,danceability,0.6591827956989245
2008,danceability,0.6471530612244899
2009,danceability,0.6275918367346941
2010,danceability,0.6231458333333335
2011,danceability,0.6246914893617018
2012,danceability,0.6467731958762887
2013,danceability,0.6346458333333332
2014,danceability,0.6482600000000001
2015,danceability,0.6648585858585861
2016,danceability,0.6636262626262628
2017,danceability,0.7165000000000001
2018,danceability,0.7215151515151516
2019,danceability,0.7171616161616158
2020,danceability,0.6968979591836737
2021,danceability,0.6773402061855673
1971,energy,0.5550736263736264
1972,energy,0.5331085106382978
1973,energy,0.5624347826086954
1974,energy,0.5780537634408603
1975,energy,0.5629062500000002
1976,energy,0.6141145833333332
1977,energy,0.57625
1978,energy,0.5517854166666664
1979,energy,0.6056195652173916
1980,energy,0.5513933333333333
1981,energy,0.54725
1982,energy,0.5944020618556701
1983,energy,0.633958762886598
1984,energy,0.6905157894736843
1985,energy,0.6572708333333334
1986,energy,0.6508297872340427
1987,energy,0.6570312500000001
1988,energy,0.667164835164835
1989,energy,0.6658085106382978
1990,energy,0.6681595744680849
1991,energy,0.6439101123595505
1992,energy,0.6281382978723405
1993,energy,0.6114782608695651
1994,energy,0.6063695652173913
1995,energy,0.6184838709677416
1996,energy,0.6367717391304349
1997,energy,0.5844494382022473
1998,energy,0.5944183908045976
1999,energy,0.6341456521739132
2000,energy,0.7112842105263159
2001,energy,0.6945376344086018
2002,energy,0.6968901098901099
2003,energy,0.6825157894736842
2004,energy,0.6723789473684212
2005,energy,0.6744526315789472
